Maria Eduarda;madu123;2024-09-22 00:00:00;Decidi twittar exatamente à meia-noite. Sinto que há algo especial em escrever quando todos estão dormindo.;assets/images/avatar_2.png
João Paulo;joao.dias;2024-09-21 13:59:00;Creio que o novo prefeito vai ser banido. Precisamos estar atentos às mudanças que nos afetam.; 
Pedro Lucas;batatinha.ceo;2024-09-21 13:59:00;Estou subindo algumas atualizações galeeeeeraaaaa! Mal posso esperar para que todos vejam as novidades.;assets/images/avatar.png
Ana Clara;ana.clara;2024-09-20 18:45:00;Fui ao cinema e o filme foi incrível! A trama me prendeu do início ao fim. Recomendo!;assets/images/avatar_2.png
Carlos Silva;carl.silva;2024-09-19 15:30:00;A tecnologia está mudando tudo! Novas inovações estão surgindo todos os dias. O futuro é agora!;
Fernanda Almeida;fer_almeida;2024-09-18 11:00:00;Prontíssima para o fim de semana! Quero aproveitar cada momento. A vida é curta!;assets/images/avatar_2.png
Ricardo Martins;ricardo.martins;2024-09-17 14:20:00;Vamos falar sobre produtividade? Estou sempre buscando formas de melhorar minha rotina. A disciplina é chave!; 
Juliana Souza;juliana.souza;2024-09-16 09:15:00;Bom dia! Hoje é um dia perfeito para aprender algo novo! Estou animada com as oportunidades.; 
Gabriel Lima;gabi.lima;2024-09-15 16:00:00;Finalmente finalizei aquele projeto! O esforço valeu a pena, e estou feliz com o resultado!;assets/images/avatar.png
Lucas Ferreira;lucas.ferreira;2024-09-14 10:30:00;O sol está brilhando e isso me inspira a ter um dia produtivo! Que venham boas vibrações!;
Camila Costa;camila.costa;2024-09-13 17:45:00;Hoje eu só queria relaxar e ver uma série nova. A vida precisa de momentos de descanso!;
